POD                               NAME       CPU(cores)   MEMORY(bytes)   
workload-cpu-1-6d58864d46-hwp9n   workload   1m           1Mi             
workload-cpu-1-6d58864d46-j5plm   workload   1m           1Mi             
workload-cpu-2-679766cbf5-chrxn   workload   2m           1Mi             
workload-cpu-2-679766cbf5-wcprk   workload   1m           1Mi             
workload-cpu-3-7c59447b64-mtsgr   workload   2m           1Mi             
workload-cpu-3-7c59447b64-nrv5m   workload   2m           1Mi             
workload-mem-4-9bf84d8bb-956kk    workload   2m           1Mi             
workload-mem-4-9bf84d8bb-gmfvk    workload   2m           1Mi             
