NAME                            READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s4-cpu-245-cccd9967b-cmjxp      1/1     Running   0          8s    10.244.0.182   ip-172-31-1-245    <none>           <none>
s4-cpu-245-cccd9967b-p2bjm      1/1     Running   0          8s    10.244.0.180   ip-172-31-1-245    <none>           <none>
s4-cpu-245-cccd9967b-q2q8s      1/1     Running   0          8s    10.244.0.181   ip-172-31-1-245    <none>           <none>
s4-cpu-198-c8bbfc967-25lp7      1/1     Running   0          7s    10.244.5.145   ip-172-31-16-198   <none>           <none>
s4-cpu-198-c8bbfc967-xnkmk      1/1     Running   0          7s    10.244.5.143   ip-172-31-16-198   <none>           <none>
s4-cpu-198-c8bbfc967-z8tlz      1/1     Running   0          7s    10.244.5.144   ip-172-31-16-198   <none>           <none>
s4-mem-34-67b57f4875-gjmkm      1/1     Running   0          5s    10.244.7.165   ip-172-31-19-34    <none>           <none>
s4-mem-34-67b57f4875-2cvpl      1/1     Running   0          5s    10.244.7.166   ip-172-31-19-34    <none>           <none>
s4-mem-34-67b57f4875-4lrbw      1/1     Running   0          5s    10.244.7.167   ip-172-31-19-34    <none>           <none>
s4-mem-39-5d5899dbd4-8w8ft      1/1     Running   0          3s    10.244.1.233   ip-172-31-3-39     <none>           <none>
s4-mem-39-5d5899dbd4-r8vnm      1/1     Running   0          3s    10.244.1.231   ip-172-31-3-39     <none>           <none>
s4-mem-39-5d5899dbd4-rn42l      1/1     Running   0          3s    10.244.1.232   ip-172-31-3-39     <none>           <none>
s4-jumbo-146-6b466bd845-4mq78   1/1     Running   0          1s    10.244.4.96    ip-172-31-31-146   <none>           <none>
