NAME                            READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s3-cpu-39-694f845c9f-p4mxt      1/1     Running   0          48s   10.244.0.109   ip-172-31-1-245    <none>           <none>
s3-under-245-574b8b4b46-72dfj   1/1     Running   0          57s   10.244.0.107   ip-172-31-1-245    <none>           <none>
s3-under-245-574b8b4b46-w9qpk   1/1     Running   0          57s   10.244.0.108   ip-172-31-1-245    <none>           <none>
s3-cpu-39-694f845c9f-lcrql      1/1     Running   0          48s   10.244.5.253   ip-172-31-16-198   <none>           <none>
s3-under-198-c45f6ffd9-b8mzr    1/1     Running   0          56s   10.244.5.252   ip-172-31-16-198   <none>           <none>
s3-under-198-c45f6ffd9-dvwtv    1/1     Running   0          56s   10.244.5.251   ip-172-31-16-198   <none>           <none>
s3-cpu-34-848456d98d-phx8z      1/1     Running   0          55s   10.244.7.236   ip-172-31-19-34    <none>           <none>
s3-cpu-34-848456d98d-xwg7j      1/1     Running   0          55s   10.244.7.235   ip-172-31-19-34    <none>           <none>
s3-full-146-5bdc7c699-ths99     1/1     Running   0          52s   10.244.4.148   ip-172-31-31-146   <none>           <none>
s3-full-146-5bdc7c699-zrdsp     1/1     Running   0          52s   10.244.4.147   ip-172-31-31-146   <none>           <none>
s3-full-144-569b4d6597-s8cnk    1/1     Running   0          51s   10.244.2.217   ip-172-31-6-144    <none>           <none>
s3-full-144-569b4d6597-vcqpf    1/1     Running   0          51s   10.244.2.216   ip-172-31-6-144    <none>           <none>
