POD                                       NAME       CPU(cores)   MEMORY(bytes)   
workload-api-6bb6488d57-vpz65             workload   645m         5Mi             
workload-api-fallback-cdfb4b6c7-2l2jx     workload   1m           1Mi             
workload-destination-1-547b7db457-xrh5z   workload   1m           2Mi             
workload-destination-2-868fd7d4d-56v5h    workload   1m           2Mi             
workload-destination-3-69c558f7f5-dj9mj   workload   1m           2Mi             
workload-idle-source-1-686899d487-qxdvk   workload   1m           2Mi             
workload-idle-source-1-686899d487-rsvx4   workload   1m           2Mi             
workload-idle-source-2-5b6d84f756-6r85l   workload   1m           2Mi             
workload-idle-source-2-5b6d84f756-7x2sl   workload   1m           1Mi             
