POD                                       NAME       CPU(cores)   MEMORY(bytes)   
workload-api-5dd89457c6-j6xgn             workload   521m         4Mi             
workload-destination-1-5f6d897967-6zsjn   workload   1m           2Mi             
workload-destination-1-5f6d897967-lncjv   workload   1m           2Mi             
workload-destination-2-7c84d94cdb-9x4f2   workload   1m           2Mi             
workload-destination-2-7c84d94cdb-dcblj   workload   1m           3Mi             
workload-destination-3-57957d8b7c-9xl9m   workload   1m           2Mi             
workload-destination-3-57957d8b7c-ctvgg   workload   1m           3Mi             
workload-idle-source-1-649f7d9b48-xtfrm   workload   1m           1Mi             
workload-idle-source-2-958bdc7ff-flqk9    workload   1m           1Mi             
