timestamp	pod	resource	usage	request	ratio	threshold	above
2026-06-14T12:34:55.392867+00:00	workload-api-5dd89457c6-9vt2z	cpu	506198609n	50m	10.123972	0.80	true
2026-06-14T12:35:05.459823+00:00	workload-api-5dd89457c6-9vt2z	cpu	506198609n	50m	10.123972	0.80	true
