POD                                       NAME       CPU(cores)   MEMORY(bytes)   
workload-api-6bb6488d57-ptw86             workload   971m         3Mi             
workload-api-fallback-cdfb4b6c7-qtlvd     workload   1m           2Mi             
workload-destination-1-547b7db457-8cdsk   workload   1m           2Mi             
workload-destination-2-868fd7d4d-m98sj    workload   2m           2Mi             
workload-destination-3-69c558f7f5-5pxzh   workload   1m           1Mi             
workload-idle-source-1-686899d487-gtgjm   workload   1m           1Mi             
workload-idle-source-1-686899d487-z9g9p   workload   1m           2Mi             
workload-idle-source-2-5b6d84f756-hd4bj   workload   1m           2Mi             
workload-idle-source-2-5b6d84f756-qw8kp   workload   1m           2Mi             
