timestamp	pod	resource	usage	request	ratio	threshold	above
2026-06-14T18:29:33.760095+00:00	workload-api-6bb6488d57-lmg8v	cpu	509128667n	50m	10.182573	0.80	true
2026-06-14T18:29:43.828908+00:00	workload-api-6bb6488d57-lmg8v	cpu	506110853n	50m	10.122217	0.80	true
