timestamp	pod	resource	usage	request	ratio	threshold	above
2026-06-14T13:50:03.313055+00:00	workload-api-5dd89457c6-bdmc9	cpu	499142389n	50m	9.982848	0.80	true
2026-06-14T13:50:13.421876+00:00	workload-api-5dd89457c6-bdmc9	cpu	500780057n	50m	10.015601	0.80	true
