POD                                       NAME       CPU(cores)   MEMORY(bytes)   
workload-api-5dd89457c6-bdmc9             workload   531m         8Mi             
workload-destination-1-5f6d897967-vqblz   workload   1m           2Mi             
workload-destination-1-5f6d897967-zpg4n   workload   1m           2Mi             
workload-destination-2-7c84d94cdb-v2nzx   workload   1m           2Mi             
workload-destination-2-7c84d94cdb-wh7qx   workload   1m           2Mi             
workload-destination-3-57957d8b7c-74lcw   workload   1m           2Mi             
workload-destination-3-57957d8b7c-rvw2r   workload   1m           2Mi             
workload-idle-source-1-649f7d9b48-gd8b6   workload   1m           1Mi             
workload-idle-source-2-958bdc7ff-st2s6    workload   1m           1Mi             
