NAME                           READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s1-fill-245-7659c95b6c-gkqlh   1/1     Running   0          7s    10.244.0.47    ip-172-31-1-245    <none>           <none>
s1-fill-245-7659c95b6c-kq7p6   1/1     Running   0          7s    10.244.0.48    ip-172-31-1-245    <none>           <none>
s1-fill-198-6f65649bd4-jhdd8   1/1     Running   0          6s    10.244.5.224   ip-172-31-16-198   <none>           <none>
s1-fill-198-6f65649bd4-k4gnq   1/1     Running   0          6s    10.244.5.225   ip-172-31-16-198   <none>           <none>
s1-fill-34-65d8fd768c-6z2cp    1/1     Running   0          5s    10.244.7.215   ip-172-31-19-34    <none>           <none>
s1-fill-34-65d8fd768c-cwqmh    1/1     Running   0          5s    10.244.7.216   ip-172-31-19-34    <none>           <none>
s1-fill-39-7d47c6f544-dvh6b    1/1     Running   0          4s    10.244.1.59    ip-172-31-3-39     <none>           <none>
s1-fill-39-7d47c6f544-k78zd    1/1     Running   0          4s    10.244.1.58    ip-172-31-3-39     <none>           <none>
s1-fill-146-f9dd78d6c-2xmlm    1/1     Running   0          3s    10.244.4.132   ip-172-31-31-146   <none>           <none>
s1-fill-146-f9dd78d6c-jmkkk    1/1     Running   0          3s    10.244.4.131   ip-172-31-31-146   <none>           <none>
s1-fill-144-75b6ddcffc-dhthb   1/1     Running   0          1s    10.244.2.202   ip-172-31-6-144    <none>           <none>
s1-fill-144-75b6ddcffc-v4gr6   1/1     Running   0          1s    10.244.2.203   ip-172-31-6-144    <none>           <none>
