POD                                       NAME       CPU(cores)   MEMORY(bytes)   
workload-api-5dd89457c6-lj4mh             workload   496m         3Mi             
workload-destination-1-5f6d897967-b8xkf   workload   1m           2Mi             
workload-destination-1-5f6d897967-g6b7s   workload   1m           2Mi             
workload-destination-2-7c84d94cdb-5ds4f   workload   1m           1Mi             
workload-destination-2-7c84d94cdb-blptt   workload   1m           1Mi             
workload-destination-3-57957d8b7c-5nh5l   workload   1m           1Mi             
workload-destination-3-57957d8b7c-pmtx5   workload   1m           1Mi             
workload-idle-source-1-649f7d9b48-9m9qg   workload   1m           6Mi             
workload-idle-source-2-958bdc7ff-xjr5h    workload   1m           6Mi             
